base,target,top0,top1,top2,top3,top4,k_order,k_score
marx__philosopher,tolstoi__novelist,marx__philosopher,spinoza__philosopher,confucius__philosopher,wittgenstein__philosopher,dante__poet,,
balzac__novelist,einstein__physicist,balzac__novelist,dante__poet,spinoza__philosopher,marx__philosopher,wittgenstein__philosopher,,
picasso__painter,rousseau__writer,picasso__painter,dante__poet,wittgenstein__philosopher,balzac__novelist,goethe__poet,,
euler__mathematician,einstein__physicist,euler__mathematician,einstein__physicist,goethe__poet,dante__poet,spinoza__philosopher,1,0.959263921
columbus__explorer,andersen__writer,columbus__explorer,hegel__philosopher,kant__philosopher,edison__inventor,pacino__actor,,
dante__poet,stalin__dictator,dante__poet,goethe__poet,spinoza__philosopher,euler__mathematician,shakespeare__playwright,,
regional__regionally,decided__decidedly,regional__regionally,legal__legally,clinical__clinically,critical__critically,sexual__sexually,,
federal__federally,according__accordingly,federal__federally,global__globally,regional__regionally,international__internationally,significant__significantly,,
serious__seriously,legal__legally,serious__seriously,strong__strongly,different__differently,effective__effectively,critical__critically,,
interesting__interestingly,additional__additionally,interesting__interestingly,amazing__amazingly,beautiful__beautifully,important__importantly,effective__effectively,,
similar__similarly,rare__rarely,similar__similarly,interesting__interestingly,effective__effectively,different__differently,efficient__efficiently,,
rare__rarely,financial__financially,rare__rarely,rarely__infrequently,reluctant__reluctantly,rapid__rapidly,sudden__suddenly,,
internal__internally,physical__physically,internal__internally,political__politically,clinical__clinically,financial__financially,mental__mentally,,
apparent__apparently,strong__strongly,apparent__apparently,apparent__obvious,immediate__immediately,possible__acceptable,virtual__virtually,,
visual__visually,digital__digitally,visual__visually,sexual__sexually,cultural__culturally,legal__legally,mental__mentally,,
nice__nicely,decided__decidedly,nice__nicely,beautiful__beautifully,efficient__efficiently,interesting__interestingly,effective__effectively,,
additional__additionally,increasing__increasingly,additional__additionally,subsequent__subsequently,international__internationally,possible__possibly,increasing__increasingly,4,0.880091965
physical__physically,huge__hugely,physical__physically,mental__mentally,financial__financially,political__politically,practical__practically,,
extensive__extensively,rare__rarely,extensive__extensively,amazing__amazingly,precise__precisely,international__internationally,significant__significantly,,
legal__legally,rare__rarely,legal__legally,regional__regionally,visual__visually,sexual__sexually,cultural__culturally,,
popular__popularly,obvious__obviously,popular__popularly,successful__successfully,legal__legally,safe__safely,famous__famously,,
historical__historically,strong__strongly,historical__historically,environmental__environmentally,traditional__traditionally,clinical__clinically,political__politically,,
important__importantly,significant__significantly,important__importantly,amazing__amazingly,significant__significantly,interesting__interestingly,international__internationally,2,0.925905168
according__accordingly,financial__financially,according__accordingly,quick__quickly,free__freely,efficiently__safely,safe__safely,,
increasing__increasingly,mental__mentally,increasing__increasingly,additional__additionally,increasing__increased,extensive__extensively,international__internationally,,
practical__practically,regional__regionally,practical__practically,political__politically,environmental__environmentally,financial__financially,physical__physically,,
effective__effectively,according__accordingly,effective__effectively,efficient__efficiently,beautiful__beautifully,interesting__interestingly,nice__nicely,,
obvious__obviously,sexual__sexually,obvious__obviously,important__importantly,possible__possibly,amazing__amazingly,precise__precisely,,
digital__digitally,actual__actually,digital__digitally,practical__practically,financial__financially,political__politically,mental__mentally,,
beautiful__beautifully,obvious__obviously,beautiful__beautifully,amazing__amazingly,interesting__interestingly,efficient__efficiently,effective__effectively,,
significant__significantly,mental__mentally,significant__significantly,important__importantly,amazing__amazingly,international__internationally,extensive__extensively,,
actual__actually,successful__successfully,actual__actually,physical__physically,environmental__environmentally,mental__mentally,practical__practically,,
critical__critically,effective__effectively,critical__critically,creative__creatively,successful__successfully,clinical__clinically,strong__strongly,,
famous__famously,critical__critically,famous__famously,efficient__efficiently,interesting__interestingly,effective__effectively,important__importantly,,
subsequent__subsequently,obvious__obviously,subsequent__subsequently,additional__additionally,previous__previously,international__internationally,possible__possibly,,
typical__typically,different__differently,typical__typically,usual__usually,significant__significantly,traditional__traditionally,international__internationally,,
successful__successfully,according__accordingly,successful__successfully,creative__creatively,critical__critically,popular__popularly,cheerful__cheerfully,,
global__globally,extensive__extensively,global__globally,international__internationally,extensive__extensively,amazing__amazingly,significant__significantly,2,0.903620124
cultural__culturally,previous__previously,cultural__culturally,physical__physically,financial__financially,mental__mentally,visual__visually,,
virtual__virtually,international__internationally,virtual__virtually,mental__mentally,legal__legally,financial__financially,cultural__culturally,,
clinical__clinically,huge__hugely,clinical__clinically,political__politically,financial__financially,practical__practically,environmental__environmentally,,
political__politically,obvious__obviously,political__politically,financial__financially,clinical__clinically,environmental__environmentally,mental__mentally,,
decided__decidedly,beautiful__beautifully,decided__decidedly,professionally__efficiently,apparently__rapidly,efficiently__safely,suddenly__reluctantly,,
strong__strongly,international__internationally,strong__strongly,effective__effectively,different__differently,nice__nicely,swift__swiftly,,
traditional__traditionally,effective__effectively,traditional__traditionally,historical__historically,creative__creatively,physical__physically,clinical__clinically,,
creative__creatively,critical__critically,creative__creatively,physical__physically,efficient__efficiently,critical__critically,mental__mentally,3,0.888632059
environmental__environmentally,federal__federally,environmental__environmentally,political__politically,financial__financially,practical__practically,historical__historically,,
previous__previously,financial__financially,previous__previously,subsequent__subsequently,additional__additionally,usual__usually,possible__possibly,,
financial__financially,environmental__environmentally,financial__financially,political__politically,mental__mentally,physical__physically,clinical__clinically,,
mental__mentally,significant__significantly,mental__mentally,financial__financially,physical__physically,political__politically,cultural__culturally,,
immediate__immediately,previous__previously,immediate__immediately,clinical__clinically,sudden__suddenly,apparent__apparently,financial__financially,,
lad__chap,package__parcel,lad__chap,fly__wasp,mister__dad,chimpanzee__monkey,cat__lion,,
railway__railroad,child__kid,railway__railroad,bicycle__bike,ship__ship,phone__telephone,airplane__aeroplane,,
monument__memorial,murder__slaying,monument__memorial,watch__timepiece,diary__journal,game__toy,ornament__decoration,,
homogeneous__uniform,baby__infant,homogeneous__uniform,suitable__believable,sealed__hermetic,elastic__flexible,logical__consistent,,
honest__sincere,auto__car,honest__sincere,concerned__sincere,reasonable__sustainable,focused__attentive,effective__serious,,
clothes__clothing,flower__blossom,clothes__clothing,food__food,virus__virus,shrub__shrubbery,armchair__chair,,
mend__repair,rational__logical,mend__repair,amuse__entertain,beautify__refresh,regale__entertain,adjust__confirm,,
jewel__gem,lazy__indolent,jewel__gem,sea__ocean,package__parcel,dress__gown,chuckle__laugh,,
list__listing,phone__telephone,list__listing,reaction__response,assess__assessment,declare__declaration,require__requirement,,
obsolete__outdated,lady__madam,obsolete__outdated,old__older,new__newer,cheap__cheaper,crowded__overcrowded,,
incorrect__wrong,obsolete__outdated,incorrect__wrong,unreasonable__irrational,dishonest__unethical,unreasonable__irresponsible,dishonest__irresponsible,,
phone__telephone,obsolete__outdated,phone__telephone,bicycle__bike,railway__railroad,airplane__aeroplane,armchair__chair,,
villain__scoundrel,father__dad,villain__scoundrel,charlatan__impostor,valet__gentleman,batman__gentleman,poet__gentleman,,
market__marketplace,sofa__couch,market__marketplace,package__parcel,railway__railroad,table__tabletop,seat__chair,,
harbor__seaport,confused__baffled,harbor__seaport,barnyard__farm,city__university,city__academy,canal__waterway,,
style__manner,harbor__seaport,style__manner,visage__countenance,tale__story,sport__game,syntax__grammar,,
spouse__partner,list__listing,spouse__partner,he__husband,she__mother,prince__husband,member__student,,
auto__car,homogeneous__uniform,auto__car,watch__timepiece,sport__game,dress__gown,money__salary,,
package__parcel,flower__blossom,package__parcel,novel__book,jewel__gem,wristband__band,seat__chair,,
child__kid,murder__slaying,child__kid,rabbit__bunny,mother__mom,father__dad,snake__serpent,,
sweets__confectionery,mother__mom,sweets__confectionery,shoes__sneakers,dessert__cake,grapes__peony,tool__cookware,,
help__aid,lad__chap,help__aid,compassion__sympathy,murder__slaying,chuckle__laugh,jubilation__joy,,
lazy__indolent,market__marketplace,lazy__indolent,dishonest__irresponsible,morose__slothful,unreasonable__irresponsible,stubborn__obdurate,,
father__dad,package__parcel,father__dad,mother__mom,child__kid,beast__beast,rabbit__bunny,,
cloth__fabric,new__modern,cloth__fabric,watch__timepiece,package__parcel,denim__fabric,barley__grain,,
baby__infant,villain__scoundrel,baby__infant,jewel__gem,sea__ocean,giggle__laugh,chuckle__laugh,,
flower__blossom,monument__memorial,flower__blossom,concrete__harden,crow__caw,snow__drift,steam__evaporate,,
bicycle__bike,new__modern,bicycle__bike,armchair__chair,railway__railroad,ship__ship,phone__telephone,,
dollars__bucks,spouse__partner,dollars__bucks,ringgit__denar,hour__hours,dollar__dollars,week__weeks,,
new__modern,monument__memorial,new__modern,significant__interesting,informed__impressive,precise__safe,huge__impressive,,
reasonable__sensible,package__parcel,reasonable__sensible,focused__attentive,comfortable__pleasant,intelligent__clever,harsh__strict,,
portion__part,murder__slaying,portion__part,package__parcel,nation__nation,rock__stone,laminate__layer,,
loyal__faithful,sweets__confectionery,loyal__faithful,ruth__ruthless,reasonable__sensible,creative__ingenious,focused__attentive,,
vocabulary__lexicon,reasonable__sensible,vocabulary__lexicon,adventure__expedition,theory__proposition,package__parcel,novel__book,,
airplane__aeroplane,sofa__couch,airplane__aeroplane,ship__ship,bicycle__bike,railway__railroad,burger__hamburger,,
rock__stone,identical__same,rock__stone,ship__ship,sofa__couch,airplane__aeroplane,burger__hamburger,,
intelligent__clever,new__modern,intelligent__clever,tranquil__placid,strong__powerful,reasonable__sensible,interesting__exciting,,
confused__baffled,sweets__confectionery,confused__baffled,tired__exhausted,afraid__terrified,excited__agitated,troubled__distraught,,
identical__same,dollars__bucks,identical__same,similar__similarly,similar__actual,cheap__same,unique__distinct,,
snake__serpent,phone__telephone,snake__serpent,rabbit__bunny,child__kid,sea__ocean,beast__beast,,
organized__arranged,railway__railroad,organized__arranged,used__simplified,resolved__controlled,suitable__controlled,developed__grown,,
shore__coast,railway__railroad,shore__coast,border__threshold,ridge__mountain,canal__waterway,seafront__harbor,,
mother__mom,confused__baffled,mother__mom,father__dad,child__kid,beast__beast,bicycle__bike,,
rational__logical,loyal__faithful,rational__logical,reasonable__sustainable,significant__interesting,apparent__obvious,reasonable__sensible,,
emphasis__accent,mend__repair,emphasis__accent,ability__skill,heat_transfer__temperature,expertise__authority,intelligence__capability,,
close__distant,competent__incompetent,close__distant,wide__narrow,sexy__scary,mild__hot,mild__nasty,,
sincere__insincere,rich__poor,sincere__insincere,honest__dishonest,clear__ostentatious,tasteful__distasteful,resolute__weak,,
clean__dirty,competent__incompetent,clean__dirty,clear__unclear,clear__vague,warm__hungry,certain__uncertain,,
sweet__sour,common__rare,sweet__sour,pleasant__unpleasant,good__bad,hot__cold,warm__cool,,
generous__stingy,colorful__colorless,generous__stingy,mild__nasty,happy__sad,energetic__lethargic,responsible__irresponsible,,
cooked__raw,cheap__expensive,cooked__raw,dry__wet,rich__poor,controlled__uncontrolled,available__unavailable,,
white__black,hot__cold,white__black,good__bad,warm__cool,wide__narrow,large__small,,
competent__incompetent,young__old,competent__incompetent,efficient__inefficient,reliable__unreliable,successful__unsuccessful,satisfactory__unsatisfactory,,
fat__thin,close__distant,fat__thin,hot__cold,slow__fast,warm__cool,happy__unhappy,,
sane__crazy,rich__poor,sane__crazy,healthy__unhealthy,abundant__scarce,reliable__unreliable,beautiful__ugly,,
able__unable,warm__cool,able__unable,available__unavailable,suitable__unsuitable,willing__unwilling,possible__impossible,,
wide__narrow,dangerous__safe,wide__narrow,big__small,large__small,long__short,warm__cool,,
introvert__extravert,sincere__insincere,introvert__extravert,mortal__immortal,wolf__sheep,minority__majority,gentleman__lady,,
bright__pale,colorful__colorless,bright__pale,sexy__ugly,bright__simple,noisy__silent,biased__unbiased,,
willing__unwilling,bright__pale,willing__unwilling,able__unable,concerned__unconcerned,responsible__irresponsible,related__unrelated,,
concerned__unconcerned,tasty__tasteless,concerned__unconcerned,willing__unwilling,responsible__irresponsible,able__unable,colorful__colorless,,
hot__cold,clear__vague,hot__cold,warm__cool,happy__sad,hard__soft,happy__unhappy,,
aware__unaware,long__short,aware__unaware,sure__unsure,informative__uninformative,successful__unsuccessful,competent__incompetent,,
clear__vague,competent__incompetent,clear__vague,clear__unclear,sure__unsure,certain__uncertain,bold__tremulous,,
gaseous__solid,familiar__unfamiliar,gaseous__solid,coarse__sticky,vague__moist,edible__poisonous,lumpy__white,,
happy__sad,white__black,happy__sad,happy__unhappy,hot__cold,warm__cool,fat__thin,,
warm__cool,lumpy__flat,warm__cool,hot__cold,cool__warm,happy__sad,hard__soft,,
interesting__uninteresting,sane__crazy,interesting__uninteresting,suitable__unsuitable,impressive__unimpressive,productive__unproductive,tasty__tasteless,,
long__short,willing__unwilling,long__short,big__small,large__small,wide__narrow,good__bad,,
hard__soft,wide__narrow,hard__soft,tight__loose,hot__cold,large__small,rich__poor,,
slow__fast,sane__crazy,slow__fast,short__tall,cheap__expensive,cool__warm,shallow__deep,,
rich__poor,colorful__colorless,rich__poor,strong__weak,hard__soft,hot__cold,happy__unhappy,,
abundant__scarce,sweet__sour,abundant__scarce,available__unavailable,colorful__colorless,opaque__transparent,reliable__unreliable,,
organized__unorganized,tight__loose,organized__unorganized,productive__unproductive,conscious__unconscious,healthy__unhealthy,colorful__colorless,,
tight__loose,tasty__tasteless,tight__loose,hard__soft,hot__cold,dry__wet,warm__cool,,
tasty__tasteless,sweet__sour,tasty__tasteless,interesting__uninteresting,suitable__unsuitable,competent__incompetent,colorful__colorless,,
full__empty,wide__narrow,full__empty,finished__unfinished,occupied__vacant,clear__vague,invalid__healthy,,
short__tall,dangerous__safe,short__tall,slow__fast,shallow__deep,cool__warm,weak__strong,,
common__rare,gaseous__solid,common__rare,usual__unusual,likely__unlikely,normal__abnormal,cheap__expensive,,
normal__abnormal,close__distant,normal__abnormal,rational__irrational,acceptable__unacceptable,reasonable__unreasonable,usual__unusual,,
pale__tanned,large__small,pale__tanned,thin__elongated,mild__hot,mild__strict,cool__warm,,
lumpy__flat,sincere__insincere,lumpy__flat,coarse__subtle,colorful__colorless,opaque__transparent,cool__warm,,
energetic__lethargic,interesting__uninteresting,energetic__lethargic,tasty__tasteless,healthy__unhealthy,merry__morose,colorful__colorless,,
young__old,pale__tanned,young__old,rich__poor,healthy__unhealthy,happy__unhappy,hot__cold,,
beautiful__ugly,clean__dirty,beautiful__ugly,sexy__ugly,healthy__unhealthy,rational__irrational,interesting__uninteresting,,
dry__wet,wide__narrow,dry__wet,cooked__raw,healthy__unhealthy,tight__loose,happy__unhappy,,
cheap__expensive,noisy__silent,cheap__expensive,cool__warm,slow__fast,shallow__deep,cool__hot,,
decisive__hesitating,cooked__raw,decisive__hesitating,voracious__hungry,apathetic__caring,righteous__useful,intrepid__fear,,
large__small,introvert__extravert,large__small,big__small,long__short,hard__soft,wide__narrow,,
colorful__colorless,happy__sad,colorful__colorless,interesting__uninteresting,productive__unproductive,available__unavailable,opaque__transparent,,
jewellery__bead,table__tabletop,jewellery__bead,guitar__string,book__word,building__block,pie__pastry,,
teapot__spout,womb__cervix,teapot__spout,train__caboose,door__hinge,ship__gangplank,pub__door,,
tripod__leg,gramm__milligram,tripod__leg,sword__torso,bag__collar,wig__lens,door__hinge,,
womb__cervix,radio__receiver,womb__cervix,bar__door,store__window,harbor__dock,apartment__window,,
movie__scene,railcar__suspension,movie__scene,day__hour,poem__stanza,life__event,railway__portion,,
sonata__movement,piano__keyboard,sonata__movement,theory__relation,poetry__rhythm,sonata__comb,theory__logic,,
door__hinge,deer__antler,door__hinge,shirt__button,teapot__spout,railcar__suspension,dress__collar,,
castle__donjon,typewriter__keyboard,castle__donjon,newcastle__cambridge,vase__jar,train__coach,bag__pouch,,
piano__keyboard,dress__sleeve,piano__keyboard,notepad__pad,mixer__blender,vase__jar,tv__toaster,,
radio__receiver,byte__bit,radio__receiver,typewriter__keyboard,plug__insert,camera__container,door__hinge,,
bus__seats,bird__feathers,bus__seats,computer__RAM,bus__passengers,car__tires,desert__sand,,
pub__bar,womb__cervix,pub__bar,jail__cell,church__chapel,apartment__bedroom,castle__turret,,
window__pane,academia__college,window__pane,staircase__step,flower__petal,sword__blade,bed__bunk,,
litre__millilitre,chair__seat,litre__millilitre,shilling__pence,tonne__kilogram,ringgit__denar,dollar__cent,,
railcar__suspension,bus__seats,railcar__suspension,car__tires,car__engine,building__foundation,train__caboose,,
church__altar,staircase__step,church__altar,harbor__dock,amphitheater__stage,gymnasium__track,bathroom__sink,,
telephone__receiver,bus__seats,telephone__receiver,camera__photographer,instrument__artist,weapon__fighter,phone__lad,,
flower__petal,dress__sleeve,flower__petal,window__pane,atom__nucleus,atom__electron,staircase__step,,
filename__extension,door__hinge,filename__extension,tale__story,litas__dram,report__outline,visage__countenance,,
gun__trigger,sword__blade,gun__trigger,door__hinge,teapot__spout,shirt__button,boat__anchor,,
dollar__cent,typewriter__keyboard,dollar__cent,yen__forint,kuna__leu,gigabit__megabit,riel__ringgit,,
jail__cell,day__hour,jail__cell,church__chapel,apartment__bedroom,theatre__stage,pub__bar,,
day__hour,piano__keyboard,day__hour,movie__scene,period__dot,poem__stanza,byte__bit,,
chair__seat,pub__bar,chair__seat,sword__blade,atom__nucleus,brush__bristle,pub__bar,4,0.76953882
gramm__milligram,door__hinge,gramm__milligram,gramm__gigabit,ringgit__denar,measure__ounce,degree__temperature,,
dress__sleeve,railcar__suspension,dress__sleeve,window__pane,dress__collar,flower__stem,staircase__step,,
staircase__step,shilling__pence,staircase__step,window__pane,bed__bunk,sword__blade,railway__portion,,
car__engine,sonata__movement,car__engine,railcar__suspension,car__tires,computer__CPU,train__caboose,,
shilling__pence,brush__bristle,shilling__pence,krone__dinar,litre__millilitre,kuna__leu,dong__ruble,,
brush__bristle,church__altar,brush__bristle,sword__blade,yoghurt__cream,chair__seat,staircase__step,,
harbor__dock,bird__feathers,harbor__dock,church__altar,factory__outlet,amphitheater__stage,bar__door,,
orthography__hyphenation,door__hinge,orthography__hyphenation,archaeology__site,orthography__jewellery,score__melody,orthography__staircase,,
pie__crust,torso__chest,pie__crust,cocktail__ice,apple__core,building__foundation,pie__pastry,,
torso__chest,church__altar,torso__chest,theatre__stage,pub__bar,womb__cervix,jail__cell,,
deer__antler,gun__trigger,deer__antler,moose__antlers,alligator__tail,camel__hump,carrot__leaves,,
apartment__bedroom,shirt__button,apartment__bedroom,church__chapel,jail__cell,castle__turret,store__window,,
sword__blade,shirt__button,sword__blade,chair__seat,window__pane,staircase__step,brush__bristle,,
gigabit__megabit,shirt__button,gigabit__megabit,dollar__cent,tonne__kilogram,yen__forint,litre__millilitre,,
typewriter__keyboard,litre__millilitre,typewriter__keyboard,radio__receiver,plug__insert,bus__telephone,chair__tripod,,
byte__bit,shirt__button,byte__bit,bread__slice,ringgit__denar,day__hour,book__word,,
table__tabletop,deer__antler,table__tabletop,sofa__couch,ship__ship,airplane__aeroplane,rock__stone,,
shirt__button,tonne__kilogram,shirt__button,dress__collar,door__hinge,railcar__suspension,teapot__spout,,
guitar__string,gigabit__megabit,guitar__string,jewellery__bead,boots__wire,body__flesh,house__bricks,,
cat__whiskers,piano__keyboard,cat__whiskers,moose__antlers,camel__hump,alligator__tail,birds__wings,,
seafront__harbor,bus__seats,seafront__harbor,street__office,shore__ocean,aisle__seat,border__country,,
authorize__authorization,characterize__characterization,authorize__authorization,reimburse__reimbursement,characterize__characterization,acknowledge__acknowledgement,advertise__advertisement,2,0.92333746
realize__realization,observe__observation,realize__realization,accomplish__accomplishment,enjoy__enjoyment,visualize__visualization,determine__determination,,
accuse__accusation,privatize__privatization,accuse__accusation,allege__allegation,declare__declaration,encourage__encouragement,admire__admiration,,
starve__starvation,characterize__characterization,starve__starvation,shun__ridicule,deprive__deprivation,disappoint__disappointment,admire__admiration,,
standardize__standardization,compute__computation,standardize__standardization,privatize__privatization,modernize__modernization,organize__organization,reorganize__reorganization,,
visualize__visualization,occupy__occupation,visualize__visualization,declare__declaration,restore__restoration,observe__observation,stabilize__stabilization,,
maximize__maximization,standardize__standardization,maximize__maximization,minimize__minimization,realize__realization,continue__continuation,accomplish__accomplishment,,
compute__computation,realize__realization,compute__computation,examine__examination,compile__compilation,assign__assignment,reimburse__reimbursement,,
globalize__globalization,organize__organization,globalize__globalization,privatize__privatization,modernize__modernization,develop__development,standardize__standardization,,
declare__declaration,reorganize__reorganization,declare__declaration,visualize__visualization,assess__assessment,announce__announcement,amend__amendment,,
oblige__obligation,restore__restoration,oblige__obligation,entitle__entitlement,admire__admiration,enjoy__pleasure,appoint__appointment,,
privatize__privatization,maximize__maximization,privatize__privatization,globalize__globalization,modernize__modernization,standardize__standardization,colonize__colonization,,
minimize__minimization,realize__realization,minimize__minimization,maximize__maximization,standardize__standardization,restore__restoration,utilize__utilization,,
perspire__perspiration,utilize__utilization,perspire__perspiration,condense__condensation,displace__displacement,impair__impairment,degrade__degradation,,
customize__customization,minimize__minimization,customize__customization,specialize__specialization,enhance__enhancement,randomize__randomization,adjust__adjustment,,
degrade__degradation,allege__allegation,degrade__degradation,develop__development,improve__improvement,engage__engagement,modernize__modernization,,
configure__configuration,civilize__civilization,configure__configuration,compile__compilation,arrange__arrangement,announce__announcement,install__installation,,
aspire__aspiration,explore__exploration,aspire__aspiration,determine__determination,enjoy__enjoyment,explore__exploration,declare__declaration,3,0.907462537
consult__consulation,deprive__deprivation,consult__consulation,teach__lecture,utter__apology,reimburse__reimbursement,examine__examination,,
compile__compilation,deprive__deprivation,compile__compilation,install__installation,compute__computation,reimburse__reimbursement,amend__amendment,,
specialize__specialization,oblige__obligation,specialize__specialization,customize__customization,achieve__achievement,engage__engagement,stabilize__stabilization,,
continue__continuation,inspire__inspiration,continue__continuation,develop__development,restore__restoration,accomplish__accomplishment,modernize__modernization,,
restore__restoration,standardize__standardization,restore__restoration,adjust__adjustment,reorganize__reorganization,stabilize__stabilization,reinforce__reinforcement,,
stabilize__stabilization,maximize__maximization,stabilize__stabilization,restore__restoration,enhance__enhancement,adjust__adjustment,achieve__achievement,,
determine__determination,condense__condensation,determine__determination,aspire__aspiration,engage__engagement,observe__observation,explore__exploration,,
reorganize__reorganization,visualize__visualization,reorganize__reorganization,restore__restoration,stabilize__stabilization,redevelop__redevelopment,improvize__improvization,,
organize__organization,civilize__civilization,organize__organization,achieve__achievement,entertain__entertainment,standardize__standardization,stabilize__stabilization,,
colonize__colonization,privatize__privatization,colonize__colonization,occupy__occupation,privatize__privatization,explore__exploration,modernize__modernization,2,0.934953034
improvize__improvization,prepare__preparation,improvize__improvization,reorganize__reorganization,prepare__preparation,redevelop__redevelopment,adjust__adjustment,2,0.930595
illumine__illumination,characterize__characterization,illumine__illumination,inspire__inspiration,enlighten__enlightenment,amuse__amusement,impair__impairment,,
admire__admiration,maximize__maximization,admire__admiration,enjoy__enjoyment,imagine__imagination,accuse__accusation,aspire__aspiration,,
characterize__characterization,organize__organization,characterize__characterization,assess__assessment,authorize__authorization,visualize__visualization,assign__assignment,,
install__installation,continue__continuation,install__installation,compile__compilation,announce__announcement,enroll__enrollment,restore__restoration,,
deprive__deprivation,organize__organization,deprive__deprivation,embarrass__embarrassment,displace__displacement,detach__detachment,impair__impairment,,
