base,target,top0,top1,top2,top3,top4,k_order,k_score
nicosia,cyprus,nicosia,cyprus,niger,limassol,famagusta,1,0.649744153
algiers,algeria,algeria,algiers,ethiopia,angola,ghana,0,0.728111267
kigali,rwanda,kigali,rwanda,burundi,tanzania,uganda,1,0.739003
antananarivo,madagascar,antananarivo,turkey,madagascar,chicken,guinea,2,0.530079126
sofia,bulgaria,sofia,bulgaria,macedonia,spain,portugal,1,0.656737387
copenhagen,denmark,copenhagen,denmark,norway,sweden,european,1,0.618404269
bangkok,thailand,bangkok,thailand,phuket,thai,asia,1,0.738487899
funafuti,tuvalu,funafuti,turkmenistan,tuvalu,uzbekistan,tajikistan,2,0.522293389
budapest,hungary,hungary,budapest,romania,poland,austria,0,0.851357639
tehran,iran,iran,tehran,iranian,syria,russia,0,0.827116549
hanoi,vietnam,hanoi,cambodia,guyana,laos,vietnam,4,0.541470349
khartoum,sudan,sudan,khartoum,sudanese,darfur,somalia,0,0.789675415
tallinn,estonia,tallinn,estonia,finland,latvia,lithuania,1,0.74849534
lima,peru,lima,peru,brazil,guatemala,ecuador,1,0.650748193
athens,greece,athens,greece,georgia,ukraine,azerbaijan,1,0.642552257
dhaka,bangladesh,dhaka,bangladesh,pakistan,lanka,chittagong,1,0.735197365
tirana,albania,tirana,albania,bhutan,nepal,armenia,1,0.684253812
nassau,bahamas,nassau,bahamas,jamaica,island,freeport,1,0.593379498
oslo,norway,oslo,norway,greenland,stockholm,copenhagen,1,0.673114717
windhoek,namibia,windhoek,namibia,botswana,swakopmund,zambia,1,0.730074644
bratislava,slovakia,slovakia,bratislava,hungary,slovenia,estonia,0,0.817578852
astana,kazakhstan,astana,kazakhstan,armenia,ethiopia,belarus,1,0.616303265
damascus,syria,damascus,syria,lebanon,yemen,syrian,1,0.623348594
tbilisi,georgia,tbilisi,azerbaijan,moldova,uzbekistan,armenia,,
bucharest,romania,romania,bucharest,hungary,slovakia,bulgaria,0,0.711248696
zagreb,croatia,croatia,zagreb,serbia,slovenia,romania,0,0.747328103
yerevan,armenia,armenia,yerevan,azerbaijan,moldova,belarus,0,0.717859387
niamey,niger,niamey,niger,mauritania,benin,burkina,1,0.511839688
kathmandu,nepal,nepal,kathmandu,bhutan,uganda,kenya,0,0.840306759
nouakchott,mauritania,nouakchott,mauritania,mauritius,senegal,cyprus,1,0.61731869
