base,target,top0,top1,top2,top3,top4,k_order,k_score
acceptable__unacceptable,aware__unaware,acceptable__unacceptable,suitable__unsuitable,normal__abnormal,possible__impossible,satisfactory__unsatisfactory,,
competitive__uncompetitive,consistent__inconsistent,competitive__uncompetitive,interesting__uninteresting,rational__irrational,impressive__unimpressive,reasonable__unreasonable,,
aware__unaware,certain__uncertain,aware__unaware,sure__unsure,informative__uninformative,successful__unsuccessful,competent__incompetent,,
known__unknown,likely__unlikely,known__unknown,familiar__unfamiliar,rational__irrational,desirable__undesirable,predictable__unpredictable,,
pleasant__unpleasant,possible__impossible,pleasant__unpleasant,reasonable__unreasonable,popular__unpopular,sweet__sour,good__bad,,
reasonable__unreasonable,responsible__irresponsible,reasonable__unreasonable,realistic__unrealistic,rational__irrational,normal__abnormal,responsible__irresponsible,4,0.933965147
informative__uninformative,informed__uninformed,informative__uninformative,efficient__inefficient,competent__incompetent,interesting__uninteresting,productive__unproductive,,
productive__unproductive,rational__irrational,productive__unproductive,interesting__uninteresting,organized__unorganized,colorful__colorless,efficient__inefficient,,
tasteful__distasteful,acceptable__unacceptable,tasteful__distasteful,pleasant__unpleasant,reasonable__unreasonable,ethical__unethical,impressive__unimpressive,,
clear__unclear,comfortable__uncomfortable,clear__unclear,clear__vague,efficient__inefficient,informative__uninformative,certain__uncertain,,
logical__illogical,pleasant__unpleasant,logical__illogical,rational__irrational,lawful__unlawful,desirable__undesirable,impressive__unimpressive,,
certain__uncertain,clear__unclear,certain__uncertain,sure__unsure,clear__unclear,clear__vague,informative__uninformative,2,0.881646216
convenient__inconvenient,decided__undecided,convenient__inconvenient,comfortable__uncomfortable,ethical__unethical,familiar__unfamiliar,logical__illogical,,
impressive__unimpressive,informative__uninformative,impressive__unimpressive,interesting__uninteresting,convincing__unconvincing,desirable__undesirable,suitable__unsuitable,,
comfortable__uncomfortable,competitive__uncompetitive,comfortable__uncomfortable,convenient__inconvenient,realistic__unrealistic,pleasant__unpleasant,predictable__unpredictable,,
ethical__unethical,fortunate__unfortunate,ethical__unethical,realistic__unrealistic,reasonable__unreasonable,sustainable__unsustainable,lawful__unlawful,,
responsible__irresponsible,sure__unsure,responsible__irresponsible,reasonable__unreasonable,fortunate__unfortunate,reliable__unreliable,healthy__unhealthy,,
beirut__lebanon,belgrade__serbia,beirut__lebanon,beirut__damascus,salford__norwich,canterbury__kent,Wichita__Madison,,
manama__bahrain,manila__philippines,ramadi__iraqi,danube__morava,bilaspur__katni,normandy__aquitaine,lae__rabaul,,
zagreb__croatia,abuja__nigeria,zagreb__croatia,belgrade__serbia,Tirana__Albania,Tashkent__Uzbekistan,hanoi__vietnam,,
algiers__algeria,amman__jordan,athens__athenian,manchester__altrincham,salisbury__amesbury,beirut__dubai,heidelberg__mannheim,,
kingston__jamaica,libreville__gabon,kingston__jamaica,kingston__amman,Funafuti__Tuvalu,preston__lancashire,gorbachev__soviet,,
sofia__bulgaria,stockholm__sweden,sofia__bulgaria,usa__guyana,ankara__vienna,usa__moldova,collar__choker,,
dublin__ireland,dushanbe__tajikistan,dublin__ireland,cairo__egypt,haiti__ecuador,haiti__colombia,dhaka__bangladesh,,
lusaka__zambia,madrid__spain,champa__cambodia,jaisalmer__india,araguaia__brazil,mardan__pakistan,palakkad__kerala,,
dhaka__bangladesh,doha__qatar,dhaka__bangladesh,cairo__egypt,haiti__colombia,lenin__soviet,Funafuti__Tuvalu,,
amman__jordan,ankara__turkey,amman__jordan,tehran__iran,madrid__spain,conakry__kiev,bucharest__kiev,,
tbilisi__georgia,tegucigalpa__honduras,tbilisi__georgia,bucharest__romania,belgrade__serbia,vienna__austria,kiev__ukraine,,
maputo__mozambique,minsk__belarus,adak__alaska,mardan__pakistan,haskell__kansas,manas__kyrgyzstan,smu__texas,,
lima__peru,lisbon__portugal,lima__peru,brussels__belgium,hereford__herefordshire,chile__guadeloupe,oxford__oxfordshire,,
roseau__dominica,santiago__chile,liberia__democracy,stara__masovian,naomi__natalya,lauren__kiss,haakon__magnus,,
budapest__hungary,bujumbura__burundi,budapest__hungary,arid__dry,mind__confused,well__excited,beirut__belgrade,,
copenhagen__denmark,dakar__senegal,copenhagen__denmark,bolivia__denmark,cyprus__denmark,maxwell__strauss,office__rank,,
belgrade__serbia,belmopan__belize,belgrade__serbia,bucharest__romania,zagreb__croatia,rome__italy,paris__france,,
funafuti__tuvalu,gaborone__botswana,funafuti__tuvalu,ramadi__iraqi,horan__bear,saab__volvo,rolfe__bear,,
santiago__chile,skopje__macedonia,santiago__chile,beijing__china,guatemala__guam,manila__copenhagen,egypt__guam,,
jakarta__indonesia,kabul__afghanistan,jakarta__indonesia,Jakarta__Indonesia,bangkok__thailand,paris__france,islamabad__pakistan,,
kiev__ukraine,kigali__rwanda,kiev__ukraine,bucharest__romania,rome__italy,belgrade__serbia,islamabad__pakistan,,
ankara__turkey,antananarivo__madagascar,ankara__turkey,hairnet__peach,jacket__hamburger,ankara__vienna,necklace__lemon,,
conakry__guinea,copenhagen__denmark,conakry__guinea,budapest__taipei,kingston__lima,coventry__hereford,inverness__wells,,
bucharest__romania,budapest__hungary,bucharest__romania,belgrade__serbia,rome__italy,islamabad__pakistan,zagreb__croatia,,
taipei__taiwan,tallinn__estonia,taipei__taiwan,bolivia__colombia,york__yorkshire,tolstoi__wittgenstein,state__nation,,
damascus__syria,dhaka__bangladesh,damascus__syria,vienna__austria,kabul__afghanistan,rome__italy,cambridge__cambridgeshire,,
nairobi__kenya,nassau__bahamas,nairobi__kenya,rome__tokyo,tbilisi__georgia,kiev__ukraine,rome__italy,,
warsaw__poland,windhoek__namibia,warsaw__poland,language__area,visage__countenance,gramm__womb,havana__cuba,,
brussels__belgium,bucharest__romania,brussels__belgium,lima__peru,chile__guadeloupe,hereford__herefordshire,oxford__oxfordshire,,
warm__warmest,weak__weakest,warm__warmest,tasty__tastiest,sexy__sexiest,cold__coldest,nice__nicest,,
short__shortest,slow__slowest,short__shortest,small__smallest,fast__fastest,bright__brightest,slow__slowest,4,0.903517485
bright__brightest,cold__coldest,bright__brightest,fast__fastest,big__biggest,dark__darkest,easy__easiest,,
cool__coolest,dark__darkest,cool__coolest,bright__brightest,hot__hottest,fast__fastest,easy__easiest,,
low__lowest,lucky__luckiest,low__lowest,high__highest,low__lower,wide__widest,small__smallest,,
small__smallest,smart__smartest,small__smallest,bright__brightest,tiny__tiniest,fast__fastest,large__largest,,
smart__smartest,strange__strangest,smart__smartest,fast__fastest,big__biggest,bright__brightest,easy__easiest,,
dark__darkest,easy__easiest,dark__darkest,bright__brightest,fast__fastest,hot__hottest,big__biggest,,
simple__simplest,short__shortest,simple__simplest,easy__easiest,cheap__cheapest,subtle__subtlest,bright__brightest,,
fast__fastest,good__best,fast__fastest,smart__smartest,bright__brightest,big__biggest,fastest__quickest,,
hot__hottest,large__largest,hot__hottest,fast__fastest,cool__coolest,bright__brightest,dense__densest,,
quick__quickest,sharp__sharpest,quick__quickest,handy__handiest,lengthy__lengthiest,nice__nicest,warm__warmest,,
cold__coldest,cool__coolest,cold__coldest,warm__warmest,sad__saddest,sharp__sharpest,sunny__sunniest,,
high__highest,hot__hottest,high__highest,tall__tallest,large__largest,wide__widest,big__biggest,,
strange__strangest,strong__strongest,strange__strangest,weird__weirdest,scary__scariest,noisy__noisiest,sexy__sexiest,,
long__longest,low__lowest,long__longest,big__biggest,large__largest,fast__fastest,bright__brightest,,
tasty__tastiest,warm__warmest,tasty__tastiest,sexy__sexiest,nasty__nastiest,weird__weirdest,warm__warmest,4,0.943906546
slow__slowest,small__smallest,slow__slowest,nice__nicest,mild__mildest,strict__strictest,fast__fastest,,
old__oldest,quick__quickest,old__oldest,fast__fastest,strong__strongest,wealthy__wealthiest,bright__brightest,,
young__youngest,bad__worst,young__youngest,dumb__dumbest,warm__warmest,old__oldest,short__shortest,,
tall__tallest,tasty__tastiest,tall__tallest,big__biggest,high__highest,fastest__quickest,fast__fastest,,
weak__weakest,weird__weirdest,weak__weakest,strong__strongest,wealthy__wealthiest,lucky__luckiest,healthy__healthiest,,
great__greatest,high__highest,great__greatest,large__largest,cool__coolest,fast__fastest,huge__hugest,,
bad__worst,big__biggest,bad__worst,sweet__sweetest,cute__cutest,sexy__sexiest,noisy__noisiest,,
wide__widest,young__youngest,wide__widest,high__highest,big__biggest,tall__tallest,large__largest,,
lucky__luckiest,old__oldest,lucky__luckiest,healthy__healthiest,polite__politest,able__ablest,hardy__hardiest,,
large__largest,long__longest,large__largest,big__biggest,bright__brightest,long__longest,high__highest,3,0.946122
easy__easiest,fast__fastest,easy__easiest,cheap__cheapest,simple__simplest,big__biggest,bright__brightest,,
weird__weirdest,wide__widest,weird__weirdest,strange__strangest,scary__scariest,risky__riskiest,sexy__sexiest,,
sweet__sweetest,tall__tallest,sweet__sweetest,cute__cutest,nice__nicest,sexy__sexiest,scary__scariest,,
big__biggest,bright__brightest,big__biggest,large__largest,fast__fastest,tall__tallest,smart__smartest,,
implementing__implemented,increasing__increased,implementing__implemented,describing__described,applying__applied,proposing__proposed,predicting__predicted,,
listening__listened,looking__looked,listening__listened,attending__attended,moving__moved,looking__looked,sleeping__slept,3,0.883261859
hitting__hit,implementing__implemented,hitting__hit,move__moving,sitting__sat,taking__took,sit__sitting,,
describing__described,enhancing__enhanced,describing__described,implementing__implemented,proposing__proposed,introducing__introduced,describe__described,,
dancing__danced,decreasing__decreased,dancing__danced,playing__played,walking__walked,singing__sang,jumping__jumped,,
hiding__hid,hitting__hit,hiding__hid,sitting__sat,looking__looked,providing__provided,falling__fell,,
singing__sang,sitting__sat,singing__sang,walking__walked,dancing__danced,screaming__screamed,swimming__swam,,
sleeping__slept,slowing__slowed,sleeping__slept,attending__attended,moving__moved,walking__walked,appearing__appeared,,
screaming__screamed,seeing__saw,screaming__screamed,walking__walked,jumping__jumped,singing__sang,dancing__danced,,
sitting__sat,sleeping__slept,sitting__sat,taking__took,walking__walked,jumping__jumped,going__went,,
feeding__fed,flying__flew,feeding__fed,publishing__published,publish__published,generating__generated,managing__managed,,
flying__flew,generating__generated,flying__flew,running__ran,falling__fell,walking__walked,swimming__swam,,
walking__walked,writing__wrote,walking__walked,jumping__jumped,dancing__danced,singing__sang,screaming__screamed,,
vanishing__vanished,walking__walked,vanishing__vanished,virtual__virtually,seem__seemed,obsolete__outdated,suffering__suffered,,
enhancing__enhanced,falling__fell,enhancing__enhanced,reducing__reduced,improving__improved,relating__related,adding__added,,
falling__fell,feeding__fed,falling__fell,flying__flew,sitting__sat,walking__walked,running__ran,,
playing__played,predicting__predicted,playing__played,dancing__danced,performing__performed,announcing__announced,selling__sold,,
jumping__jumped,knowing__knew,jumping__jumped,walking__walked,screaming__screamed,dancing__danced,sitting__sat,,
reading__read,running__ran,reading__read,hitting__hit,following__follow,cognize__recognize,looking__looked,,
swimming__swam,taking__took,swimming__swam,singing__sang,dancing__danced,running__ran,walking__walked,,
taking__took,thinking__thought,taking__took,sitting__sat,believing__believes,walking__walked,adding__added,,
thinking__thought,vanishing__vanished,thinking__thought,imagine__imagination,observe__observation,enjoy__enjoyment,realize__realization,,
paying__paid,playing__played,paying__paid,attending__attended,deciding__decided,selling__sold,generating__generated,,
saying__said,screaming__screamed,saying__said,proposes__proposed,announces__announced,describes__described,tells__told,,
knowing__knew,listening__listened,knowing__knew,believing__believes,understand__understanding,taking__took,existing__existed,,
decreasing__decreased,describing__described,decreasing__decreased,increasing__increased,decrease__decreasing,slowing__slowed,increase__increasing,,
moving__moved,paying__paid,moving__moved,generating__generated,attending__attended,considering__considered,listening__listened,,
shrinking__shrank,singing__sang,shrinking__shrank,falling__fell,moving__moved,reducing__reduced,sleeping__slept,,
striking__struck,swimming__swam,striking__struck,generating__generated,attending__attended,proposing__proposed,asking__asked,,
seeing__saw,selling__sold,seeing__saw,falling__fell,allowing__allows,discovering__discovers,taking__took,,
predicting__predicted,reading__read,predicting__predicted,expecting__expected,generating__generated,deciding__decided,applying__applied,,
writing__wrote,dancing__danced,writing__wrote,represent__represents,representing__represents,teaching__teaches,advertising__advertises,,
increasing__increased,jumping__jumped,increasing__increased,decreasing__decreased,decrease__decreasing,increase__increasing,improving__improves,,
running__ran,saying__said,running__ran,flying__flew,singing__sang,walking__walked,swimming__swam,,
generating__generated,going__went,generating__generated,moving__moved,deciding__decided,attending__attended,sending__sent,,
selling__sold,shrinking__shrank,selling__sold,sending__sent,paying__paid,playing__played,announcing__announced,,
stepson__stepdaughter,uncle__aunt,stepson__stepdaughter,nephew__niece,grandson__granddaughter,son__daughter,stepfather__stepmother,,
father__mother,grandfather__grandmother,father__mother,dad__mom,grandpa__grandma,daddy__mommy,grandfather__grandmother,4,0.957266212
his__her,husband__wife,his__her,he__she,hero__heroine,daddy__mommy,brother__sister,,
stepbrother__stepsister,stepfather__stepmother,stepbrother__stepsister,stepson__stepdaughter,stepfather__stepmother,uncle__aunt,brother__sister,2,0.936405718
grandfather__grandmother,grandpa__grandma,grandfather__grandmother,grandpa__grandma,nephew__niece,son__daughter,father__mother,1,0.977918923
nephew__niece,policeman__policewoman,nephew__niece,grandson__granddaughter,grandfather__grandmother,son__daughter,uncle__aunt,,
uncle__aunt,boy__girl,uncle__aunt,brother__sister,nephew__niece,grandfather__grandmother,daddy__mommy,,
grandson__granddaughter,groom__bride,grandson__granddaughter,nephew__niece,son__daughter,grandfather__grandmother,stepson__stepdaughter,,
he__she,his__her,he__she,man__woman,boy__girl,hero__heroine,dad__mom,,
brothers__sisters,dad__mom,brothers__sisters,sons__daughters,dogs__cows,grandson__granddaughter,superman__superwoman,,
stepfather__stepmother,stepson__stepdaughter,stepfather__stepmother,stepson__stepdaughter,father__mother,stepbrother__stepsister,chairman__chairwoman,1,0.943430662
grandpa__grandma,grandson__granddaughter,grandpa__grandma,grandfather__grandmother,father__mother,nephew__niece,dad__mom,,
man__woman,nephew__niece,man__woman,boy__girl,brother__sister,father__mother,son__daughter,,
prince__princess,son__daughter,prince__princess,duke__duchess,sculptor__sculptress,actor__actress,king__queen,,
policeman__policewoman,prince__princess,policeman__policewoman,lion__lioness,chairman__chairwoman,superman__superwoman,headmaster__headmistress,,
husband__wife,king__queen,husband__wife,groom__bride,prince__princess,businessman__businesswoman,sculptor__sculptress,,
groom__bride,he__she,groom__bride,husband__wife,prince__princess,grandfather__grandson,brother__nephew,,
king__queen,man__woman,king__queen,emperor__empress,father__mother,god__goddess,grandpa__grandma,,
boy__girl,brother__sister,boy__girl,man__woman,brother__sister,son__daughter,father__mother,2,0.964917719
brother__sister,brothers__sisters,brother__sister,boy__girl,man__woman,uncle__aunt,nephew__niece,,
sons__daughters,stepbrother__stepsister,sons__daughters,brothers__sisters,dogs__cows,grandson__granddaughter,son__daughter,,
cambodia__cambodian,chile__chilean,canada__canadian,champa__cambodia,zimbabwe__zimbabwean,brazilian__chapecoense,venezuelan__venezuelans,,
norway__norwegian,peru__peruvian,norway__norwegian,Colombia__Colombian,Brazil__Brazilian,Chile__Chilean,Norway__Norwegian,,
moldova__moldovan,netherlands__dutch,moldova__moldovan,usa__moldova,tolstoi__picasso,indulge__sea,indulge__lake,,
bulgaria__bulgarian,cambodia__cambodian,numidia__algeria,sylvia__mother,wallachia__vlad,bard__poet,stara__masovian,,
germany__german,greece__greek,zimbabwe__zimbabwean,canada__canadian,germany__zdf,asia__philippines,austria__burgenland,,
thailand__thai,ukraine__ukrainian,zimbabwe__zimbabwean,canada__canadian,thai__thaksin,sweden__denmark,kosovo__balkans,,
netherlands__dutch,norway__norwegian,netherlands__dutch,ethiopia__amharic,guadeloupe__french,venezuela__netherlands,egypt__arabic,,
chandler__arizona,madison__wisconsin,ronald__ferguson,louis__nassau,san_carlos__cebu,frederick__brandenburg,bligh__sydney,,
irving__texas,fremont__california,astrodome__texas,redeploy__afghanistan,clitheroe__england,odisha__punjab,lsu__texas,,
phoenix__arizona,dallas__texas,bligh__sydney,joko__indonesia,danby__yorkshire,yosemite__california,tilsit__russia,,
stockton__california,cincinnati__ohio,san_francisco__california,lismore__ireland,seville__spain,eagan__minnesota,connellsville__pennsylvania,,
indianapolis__indiana,austin__texas,boulogne__france,metropolitan_areas__canada,lagrange__illinois,goldfield__australia,seville__spain,,
houston__texas,philadelphia__pennsylvania,georgetown__south,montgomery__ohio,siena__tuscany,texas__united_states,nagasaki__kobe,,
tucson__arizona,fresno__california,nagasaki__kobe,siena__tuscany,montgomery__ohio,seville__spain,san_francisco__california,,
omaha__nebraska,miami__florida,ipoh__singapore,tonawanda__ny,adak__alaska,eagan__minnesota,smu__texas,,
go__goes,implement__implements,go__goes,listen__listens,accept__accepts,achieve__achieves,speak__speaks,,
sing__sings,sit__sits,sing__sings,speak__speaks,think__thinks,write__writes,consider__considers,,
enhance__enhances,estimate__estimates,enhance__enhances,improve__improves,involve__involves,suggest__suggests,protect__protects,,
walk__walks,work__works,walk__walks,scream__screams,shuffle__shuffles,heat_transfer__transfers,dream__dreams,,
sit__sits,slow__slows,sit__sits,swim__swims,talk__talks,ask__asks,send__sends,,
talk__talks,think__thinks,talk__talks,listen__listens,sing__sings,sit__sits,ask__asks,,
work__works,write__writes,work__works,activity__activities,application__applications,analysis__analyses,entry__entries,,
estimate__estimates,find__finds,estimate__estimates,theory__theories,version__versions,role__roles,fact__facts,,
provide__provides,say__says,provide__provides,providing__provides,achieve__achieves,protect__protects,create__creates,,
eat__eats,enhance__enhances,eat__eats,listen__listens,speak__speaks,create__creates,achieve__achieves,,
write__writes,decrease__decreases,write__writes,sing__sings,think__thinks,speak__speaks,create__creates,,
say__says,scream__screams,say__says,tell__tells,suggest__suggests,improve__improves,consider__considers,,
predict__predicts,provide__provides,predict__predicts,prevent__prevents,promote__promotes,describe__describes,suggest__suggests,,
speak__speaks,swim__swims,speak__speaks,sing__sings,listen__listens,create__creates,generate__generates,,
vanish__vanishes,walk__walks,vanish__vanishes,appear__appears,generate__generates,become__becomes,develop__develops,,
listen__listens,play__plays,listen__listens,achieve__achieves,speak__speaks,eat__eats,asking__asks,,
swim__swims,talk__talks,swim__swims,sit__sits,sing__sings,consider__considers,walk__walks,,
find__finds,generate__generates,find__finds,loss__losses,machine__machines,event__events,fact__facts,,
implement__implements,increase__increases,implement__implements,machine__machines,computer__computers,product__products,fact__facts,,
think__thinks,vanish__vanishes,think__thinks,consider__considers,sing__sings,enjoy__enjoys,write__writes,,
decrease__decreases,describe__describes,decrease__decreases,increase__increases,development__developments,loss__losses,responsibility__responsibilities,,
scream__screams,search__searches,scream__screams,walk__walks,shuffle__shuffles,dream__dreams,increase__increases,,
shuffle__shuffles,sing__sings,shuffle__shuffles,scream__screams,walk__walks,search__searches,add__adds,,
slow__slows,speak__speaks,slow__slows,improving__improves,avoid__avoids,agree__agrees,involving__involves,,
increase__increases,listen__listens,increase__increases,decrease__decreases,development__developments,success__successes,scream__screams,,
describe__describes,eat__eats,describe__describes,describing__describes,suggest__suggests,predict__predicts,consider__considers,,
search__searches,see__sees,search__searches,development__developments,work__works,activity__activities,add__adds,,
happy__happily,immediate__immediately,happy__happily,lucky__luckily,beautiful__beautifully,efficient__efficiently,fortunate__fortunately,,
rapid__rapidly,rare__rarely,rapid__rapidly,quick__quickly,strong__strongly,swift__swiftly,cheerful__cheerfully,,
lucky__luckily,most__mostly,lucky__luckily,fortunate__fortunately,happy__happily,amazing__amazingly,fortunate__fortunate,,
quiet__quietly,rapid__rapidly,quiet__quietly,quick__quickly,slow__slowly,safe__safely,calm__calmly,,
infrequent__infrequently,lucky__luckily,infrequent__infrequently,sudden__suddenly,rarely__infrequently,efficient__efficiently,precise__precisely,,
immediate__immediately,infrequent__infrequently,immediate__immediately,clinical__clinically,sudden__suddenly,apparent__apparently,financial__financially,,
serious__seriously,slow__slowly,serious__seriously,strong__strongly,different__differently,effective__effectively,critical__critically,,
amazing__amazingly,apparent__apparently,amazing__amazingly,interesting__interestingly,important__importantly,beautiful__beautifully,international__internationally,,
professional__professionally,quick__quickly,professional__professionally,creative__creatively,successful__successfully,critical__critically,cheerful__cheerfully,,
swift__swiftly,typical__typically,swift__swiftly,strong__strongly,rapid__rapidly,efficient__efficiently,effective__effectively,,
fortunate__fortunately,free__freely,fortunate__fortunately,lucky__luckily,unfortunate__unfortunately,happy__happily,amazing__amazingly,,
quick__quickly,quiet__quietly,quick__quickly,rapid__rapidly,swift__swiftly,cheerful__cheerfully,quiet__quietly,4,0.86149168
sudden__suddenly,swift__swiftly,sudden__suddenly,strong__strongly,swift__swiftly,unique__uniquely,effective__effectively,2,0.871172726
occasional__occasionally,possible__possibly,occasional__occasionally,usual__usually,rarely__infrequently,global__globally,significant__significantly,,
unfortunate__unfortunately,usual__usually,unfortunate__unfortunately,fortunate__fortunately,furious__furiously,lucky__luckily,interesting__interestingly,,
most__mostly,obvious__obviously,most__mostly,global__globally,international__internationally,occasional__occasionally,usual__usually,,
free__freely,furious__furiously,free__freely,cheerful__cheerfully,quick__quickly,popular__popularly,quiet__quietly,,
apparent__apparently,calm__calmly,apparent__apparently,apparent__obvious,immediate__immediately,possible__acceptable,virtual__virtually,,
precise__precisely,professional__professionally,precise__precisely,efficient__efficiently,extensive__extensively,beautiful__beautifully,effective__effectively,,
calm__calmly,cheerful__cheerfully,calm__calmly,nice__nicely,happy__happily,efficient__efficiently,effective__effectively,,
typical__typically,unfortunate__unfortunately,typical__typically,usual__usually,significant__significantly,traditional__traditionally,international__internationally,,
obvious__obviously,occasional__occasionally,obvious__obviously,important__importantly,possible__possibly,amazing__amazingly,precise__precisely,,
efficient__efficiently,fortunate__fortunately,efficient__efficiently,effective__effectively,beautiful__beautifully,precise__precisely,interesting__interestingly,,
reluctant__reluctantly,safe__safely,reluctant__reluctantly,strong__strongly,unfortunate__unfortunately,rare__rarely,sudden__suddenly,,
possible__possibly,precise__precisely,possible__possibly,international__internationally,usual__usually,important__importantly,amazing__amazingly,,
slow__slowly,sudden__suddenly,slow__slowly,quiet__quietly,quick__quickly,rapid__rapidly,strong__strongly,,
safe__safely,serious__seriously,safe__safely,strong__strongly,effective__effectively,calm__calmly,successful__successfully,,
furious__furiously,happy__happily,furious__furiously,unfortunate__unfortunately,huge__hugely,happy__happily,amazing__amazingly,3,0.898296893
cheerful__cheerfully,complete__completely,cheerful__cheerfully,successful__successfully,quick__quickly,rapid__rapidly,free__freely,,
madrid__spain,moscow__russia,madrid__spain,amman__jordan,bucharest__kiev,tehran__iran,rome__italy,,
oslo__norway,ottawa__canada,oslo__norway,berlin__germany,ottawa__canada,kabul__afghanistan,helsinki__finland,2,0.906007886
rome__italy,stockholm__sweden,rome__italy,belgrade__serbia,bangkok__thailand,paris__france,bucharest__romania,,
helsinki__finland,islamabad__pakistan,helsinki__finland,ottawa__canada,oslo__norway,bern__switzerland,kabul__afghanistan,,
paris__france,rome__italy,paris__france,vienna__austria,jakarta__indonesia,islamabad__pakistan,Santiago__Chile,,
canberra__australia,hanoi__vietnam,canberra__australia,jakarta__indonesia,bangkok__thailand,paris__france,rome__italy,,
london__england,madrid__spain,london__england,bolivia__ecuador,bolivia__colombia,Taipei__Taiwan,usa__palestine,,
berlin__germany,bern__switzerland,berlin__germany,stockholm__sweden,vienna__austria,paris__france,belgrade__serbia,,
